"Species","x","y","bio1","bio3","bio7","bio8","bio9","bio14","bio15","bio18"
"Reynoutria_japonica",-2.1459729336,53.8123605359,8.38537979125977,34.3329010009766,17.0894966125488,6.30756711959839,7.13908529281616,90.1234817504883,20.7587547302246,364.178161621094
"Reynoutria_japonica",-2.3126395996,53.2290272049,10.0123662948608,35.216926574707,17.6916599273682,7.81918430328369,6.55348682403564,51.8844223022461,17.8555278778076,247.6416015625
"Reynoutria_japonica",-2.3126395996,54.8123605319,7.08074474334717,33.024356842041,16.1694984436035,3.19238758087158,5.77142143249512,73.8514785766602,23.223217010498,321.347961425781
"Reynoutria_japonica",-2.3543062661,42.9790272459,9.69521522521973,37.9858894348145,21.74365234375,4.42464017868042,15.9510278701782,67.6880950927734,29.2864112854004,239.364318847656
"Reynoutria_japonica",-2.3543062661,57.4373605214,9.00781154632568,24.3721332550049,12.2741365432739,7.649817943573,5.9298243522644,49.3529396057129,19.4364261627197,216.526489257812
"Reynoutria_japonica",-2.4376395991,40.6040272554,11.8297824859619,35.5855827331543,29.6512184143066,7.71321439743042,20.5539131164551,15.4944000244141,37.9647254943848,84.1139755249023
"Reynoutria_japonica",-2.4376395991,43.2290272449,13.4097166061401,35.5479545593262,19.9936771392822,8.43896961212158,19.4734191894531,63.7938842773438,26.8966674804688,222.267120361328
"Reynoutria_japonica",-2.4793062656,41.3540272524,11.3338260650635,36.9324531555176,27.7957553863525,9.81840801239014,19.4086532592773,19.5397644042969,27.3686199188232,92.3142547607422
"Reynoutria_japonica",-2.4793062656,42.8123605799,11.5191335678101,39.3160133361816,22.9379959106445,7.67392635345459,17.9734745025635,47.1987762451172,30.2580528259277,173.927154541016
"Reynoutria_japonica",-2.4793062656,55.2706938634,7.46957159042358,32.8927726745605,15.9720764160156,3.62006592750549,6.18042993545532,70.796142578125,20.193998336792,308.253845214844
"Reynoutria_japonica",-2.5209729321,41.0623605869,11.2022933959961,36.3110580444336,28.5301246643066,9.61392021179199,19.557014465332,16.3449420928955,32.8248062133789,79.7144470214844
"Reynoutria_japonica",-2.5626395986,41.9790272499,7.52561855316162,39.0225524902344,25.9790306091309,1.42156851291656,14.8039407730103,22.2920475006104,31.225025177002,107.806114196777
"Reynoutria_japonica",-2.5626395986,43.3123605779,13.400915145874,35.2579536437988,19.5195846557617,8.55035018920898,19.3259105682373,62.1719551086426,29.0445384979248,218.839630126953
"Reynoutria_japonica",-2.5626395986,57.1040271894,8.35555076599121,28.4386653900146,13.9802255630493,6.65884065628052,7.01003742218018,58.1844711303711,20.7027549743652,252.198776245117
