"x","y"
-2.97466,50.83684
-4.395743,50.914628
-3.799721,53.07856
-4.05139,55.77093
-2.220804,50.683309
-2.173093,50.683054
-1.227641,53.70902
-4.67818,50.62107
-0.940735,54.017548
-0.474673,51.758172
0.10786,51.35674
-3.725527,55.100716
-3.478216,51.593906
-0.19123,51.71066
-1.149131,54.002633
-2.323773,52.132202
-1.51842,53.96832
-3.406503,56.104242
-0.43669,54.00217
-1.895773,52.064572
-2.708195,53.414882
-8.47455,52.691714
-0.55244,52.24931
-2.011014,53.96404
-3.982481,50.351439
-3.43903,52.484219
-2.962836,53.104316
-0.68072,51.52372
-3.559384,50.704368
-3.90981,56.37414
-2.723827,50.758512
-0.465097,51.220656
-2.69837,52.7301
-0.30915,51.36116
0.86772,51.309154
-2.529126,52.682239
-1.458363,52.425252
-0.72775,51.62271
0.321477,51.219556
-3.17942,51.58894
0.210175,51.562303
-2.483432,53.290076
-1.92786,52.44137
-2.137344,53.060229
-1.571645,53.789547
-4.614462,55.798921
-2.116996,52.727325
1.00307,52.18603
-1.802918,51.590236
-1.735803,53.015591
-9.782745,52.111073
-0.161456,50.924428
-3.399444,54.34039
-1.24943,52.38387
-3.790122,55.993549
-0.16341,51.367503
-3.680232,55.846322
-0.51708,51.54602
-2.764651,52.39137
1.42008,52.65691
-1.595728,54.289755
-9.390435,51.917624
-2.25265,52.38079
-5.208372,50.098873
-0.054925,51.61364
-1.305914,51.064761
-2.47209,53.75589
-1.296167,51.401033
0.815347,51.835927
-2.400443,54.530843
-2.166254,53.395094
0.300433,51.611798
-0.312425,53.800391
0.16787,51.53039
0.457007,52.073855
-0.878727,51.483334
-6.729984,54.6402
-3.249479,51.695999
-2.214142,53.854613
-0.477292,51.095612
-4.204287,51.035025
-0.37861,51.43615
-2.236189,52.197099
-2.046394,52.604169
-0.61954,51.00054
-1.496504,52.323059
-3.686708,56.160402
-6.028246,54.515861
-4.118709,55.933008
-2.012112,53.103463
0.068661,51.016403
-3.899889,51.695232
-4.870854,51.969792
-2.763404,55.43142
-5.23385,50.23568
-1.598791,55.166628
-0.75992,50.980473
-1.545079,54.97938
-1.422357,53.424216
-1.102383,53.919834
-2.80491,51.928409
-2.467125,57.593656
-9.585033,51.874665
-4.00459,55.85921
-0.465175,53.609431
-1.48225,53.031706
-3.651777,51.516563
-5.113045,56.680426
-3.354491,50.869528
-3.605625,52.115469
-2.05678,53.48363
-4.13129,52.18526
-3.758128,50.475118
-3.8666,53.133333
-6.60169,55.1246
-1.323967,52.065349
1.005432,51.948111
-0.113344,51.019352
-1.648614,51.493285
-3.203699,55.849822
0.121817,52.205337
-0.481613,51.582965
-0.42131,51.313662
-3.529728,51.571151
-4.398892,52.025863
0.39336,51.39428
1.03402,52.95505
-1.285618,52.879723
-3.240628,54.715987
-0.5635,51.761449
-2.22586,53.517661
-0.513989,51.477514
1.28742,51.24168
-1.818237,53.367226
-4.085375,55.887098
-3.689173,52.721262
2.79003,42.50843
2.91779,42.54687
26.7,58.8
26.7,58.6
25,58.2
26,59.5
-3.420575,51.668242
-3.953156,52.245852
-2.678024,53.759043
0.016107,51.76897
-0.84798,52.350844
-6.608,54.79861
-3.15949,56.469501
-0.33169,51.74177
-3.51437,55.05491
-3.161493,55.853242
-2.68138,51.698038
-1.14212,52.088902
-2.384505,50.706794
-1.789146,51.326913
-4.14836,56.53275
1.539643,52.335823
-0.495293,51.432506
-2.949395,54.411715
-2.591311,53.351348
-3.875808,55.783542
0.277733,51.191502
